dwell,emme_id,from_station,index,time_period,to_station,tt_minutes
90.0,GT07Ds,Centennial Station,4,MD,Unionville Station,3.75
60.0,GT07Ds,Unionville Station,5,MD,Finch East Station,5.25
60.0,GT07Ds,Finch East Station,6,MD,Agincourt Station,2.5
60.0,GT07Ds,Agincourt Station,7,MD,Kennedy Station,6.75
60.0,GT07Ds,Kennedy Station,8,MD,East Harbour Station,8.75
0.0,GT07Ds,East Harbour Station,9,MD,Union Station,6.5
60.0,GT07Ds,Lincolnville Station,0,PM,Stouffville Station,3.25
90.0,GT07Ds,Stouffville Station,1,PM,Mt. Joy Station,8.0
60.0,GT07Ds,Mt. Joy Station,2,PM,Markham Station,2.75
60.0,GT07Ds,Markham Station,3,PM,Centennial Station,3.25
90.0,GT07Ds,Centennial Station,4,PM,Unionville Station,3.75
60.0,GT07Ds,Unionville Station,5,PM,Finch East Station,5.25
60.0,GT07Ds,Finch East Station,6,PM,Agincourt Station,2.5
60.0,GT07Ds,Agincourt Station,7,PM,Kennedy Station,6.75
60.0,GT07Ds,Kennedy Station,8,PM,East Harbour Station,8.75
0.0,GT07Ds,East Harbour Station,9,PM,Union Station,6.5
60.0,GT07Es,Lincolnville Station,0,AM,Stouffville Station,3.25
90.0,GT07Es,Stouffville Station,1,AM,Mt. Joy Station,8.0
60.0,GT07Es,Mt. Joy Station,2,AM,Markham Station,3.0
60.0,GT07Es,Markham Station,3,AM,Centennial Station,3.25
90.0,GT07Es,Centennial Station,4,AM,Unionville Station,3.75
60.0,GT07Es,Unionville Station,5,AM,Finch East Station,5.5
60.0,GT07Es,Finch East Station,6,AM,Agincourt Station,2.5
60.0,GT07Es,Agincourt Station,7,AM,Kennedy Station,7.0
60.0,GT07Es,Kennedy Station,8,AM,East Harbour Station,9.0
0.0,GT07Es,East Harbour Station,9,AM,Union Station,4.75
30.0,GT07An,Union Station,0,AM,East Harbour Station,3.5
30.0,GT07An,East Harbour Station,1,AM,Danforth Station,3.75
30.0,GT07An,Danforth Station,2,AM,Kennedy Station,6.0
30.0,GT07An,Kennedy Station,3,AM,Agincourt Station,6.75
30.0,GT07An,Agincourt Station,4,AM,Finch East Station,2.25
30.0,GT07An,Finch East Station,5,AM,Milliken Station,2.5
40.0,GT07An,Milliken Station,6,AM,Unionville Station,3.25
30.0,GT07An,Union Station,0,EV,East Harbour Station,3.5
30.0,GT07An,East Harbour Station,1,EV,Danforth Station,3.75
30.0,GT07An,Danforth Station,2,EV,Kennedy Station,6.0
30.0,GT07An,Kennedy Station,3,EV,Agincourt Station,6.75
30.0,GT07An,Agincourt Station,4,EV,Finch East Station,2.25
30.0,GT07An,Finch East Station,5,EV,Milliken Station,2.5
40.0,GT07An,Milliken Station,6,EV,Unionville Station,3.25
30.0,GT07An,Union Station,0,MD,East Harbour Station,3.5
30.0,GT07An,East Harbour Station,1,MD,Danforth Station,3.75
30.0,GT07An,Danforth Station,2,MD,Kennedy Station,6.0
30.0,GT07An,Kennedy Station,3,MD,Agincourt Station,6.75
30.0,GT07An,Agincourt Station,4,MD,Finch East Station,2.25
30.0,GT07An,Finch East Station,5,MD,Milliken Station,2.5
40.0,GT07An,Milliken Station,6,MD,Unionville Station,3.25
30.0,GT07An,Union Station,0,PM,East Harbour Station,3.5
30.0,GT07An,East Harbour Station,1,PM,Danforth Station,3.75
30.0,GT07An,Danforth Station,2,PM,Kennedy Station,6.0
30.0,GT07An,Kennedy Station,3,PM,Agincourt Station,6.75
30.0,GT07An,Agincourt Station,4,PM,Finch East Station,2.25
30.0,GT07An,Finch East Station,5,PM,Milliken Station,2.5
40.0,GT07An,Milliken Station,6,PM,Unionville Station,3.25
30.0,GT07Bn,Union Station,0,AM,East Harbour Station,3.5
30.0,GT07Bn,East Harbour Station,1,AM,Danforth Station,3.75
30.0,GT07Bn,Danforth Station,2,AM,Kennedy Station,6.0
30.0,GT07Bn,Kennedy Station,3,AM,Agincourt Station,6.75
30.0,GT07Bn,Agincourt Station,4,AM,Finch East Station,2.25
30.0,GT07Bn,Finch East Station,5,AM,Milliken Station,2.5
40.0,GT07Bn,Milliken Station,6,AM,Unionville Station,3.25
30.0,GT07Bn,Unionville Station,7,AM,Centennial Station,3.5
30.0,GT07Bn,Centennial Station,8,AM,Markham Station,3.0
30.0,GT07Bn,Markham Station,9,AM,Mt. Joy Station,2.5
30.0,GT07Bn,Union Station,0,EV,East Harbour Station,3.5
30.0,GT07Bn,East Harbour Station,1,EV,Danforth Station,3.75
30.0,GT07Bn,Danforth Station,2,EV,Kennedy Station,6.0
30.0,GT07Bn,Kennedy Station,3,EV,Agincourt Station,6.75
30.0,GT07Bn,Agincourt Station,4,EV,Finch East Station,2.25
30.0,GT07Bn,Finch East Station,5,EV,Milliken Station,2.5
40.0,GT07Bn,Milliken Station,6,EV,Unionville Station,3.25
30.0,GT07Bn,Unionville Station,7,EV,Centennial Station,3.5
30.0,GT07Bn,Centennial Station,8,EV,Markham Station,3.0
30.0,GT07Bn,Markham Station,9,EV,Mt. Joy Station,2.5
30.0,GT07Bn,Union Station,0,MD,East Harbour Station,3.5
30.0,GT07Bn,East Harbour Station,1,MD,Danforth Station,3.75
30.0,GT07Bn,Danforth Station,2,MD,Kennedy Station,6.0
30.0,GT07Bn,Kennedy Station,3,MD,Agincourt Station,6.75
30.0,GT07Bn,Agincourt Station,4,MD,Finch East Station,2.25
30.0,GT07Bn,Finch East Station,5,MD,Milliken Station,2.5
40.0,GT07Bn,Milliken Station,6,MD,Unionville Station,3.25
30.0,GT07Bn,Unionville Station,7,MD,Centennial Station,3.5
30.0,GT07Bn,Centennial Station,8,MD,Markham Station,3.0
30.0,GT07Bn,Markham Station,9,MD,Mt. Joy Station,2.5
30.0,GT07Bn,Union Station,0,PM,East Harbour Station,3.5
30.0,GT07Bn,East Harbour Station,1,PM,Danforth Station,3.75
30.0,GT07Bn,Danforth Station,2,PM,Kennedy Station,6.0
30.0,GT07Bn,Kennedy Station,3,PM,Agincourt Station,6.75
30.0,GT07Bn,Agincourt Station,4,PM,Finch East Station,2.25
30.0,GT07Bn,Finch East Station,5,PM,Milliken Station,2.5
40.0,GT07Bn,Milliken Station,6,PM,Unionville Station,3.25
30.0,GT07Bn,Unionville Station,7,PM,Centennial Station,3.5
30.0,GT07Bn,Centennial Station,8,PM,Markham Station,3.0
30.0,GT07Bn,Markham Station,9,PM,Mt. Joy Station,2.5
30.0,GT07Cn,Union Station,0,AM,East Harbour Station,3.5
30.0,GT07Cn,East Harbour Station,1,AM,Danforth Station,3.75
30.0,GT07Cn,Danforth Station,2,AM,Kennedy Station,6.0
30.0,GT07Cn,Kennedy Station,3,AM,Agincourt Station,6.75
30.0,GT07Cn,Agincourt Station,4,AM,Finch East Station,2.25
30.0,GT07Cn,Finch East Station,5,AM,Milliken Station,2.5
40.0,GT07Cn,Milliken Station,6,AM,Unionville Station,3.25
30.0,GT07Cn,Unionville Station,7,AM,Centennial Station,3.5
30.0,GT07Cn,Centennial Station,8,AM,Markham Station,3.0
30.0,GT07Cn,Markham Station,9,AM,Mt. Joy Station,2.5
0.0,GT07Cn,Mt. Joy Station,10,AM,Stouffville Station,8.0
30.0,GT07Cn,Union Station,0,EV,East Harbour Station,3.5
30.0,GT07Cn,East Harbour Station,1,EV,Danforth Station,3.75
30.0,GT07Cn,Danforth Station,2,EV,Kennedy Station,6.0
30.0,GT07Cn,Kennedy Station,3,EV,Agincourt Station,6.75
30.0,GT07Cn,Agincourt Station,4,EV,Finch East Station,2.25
30.0,GT07Cn,Finch East Station,5,EV,Milliken Station,2.5
40.0,GT07Cn,Milliken Station,6,EV,Unionville Station,3.25
30.0,GT07Cn,Unionville Station,7,EV,Centennial Station,3.5
30.0,GT07Cn,Centennial Station,8,EV,Markham Station,3.0
30.0,GT07Cn,Markham Station,9,EV,Mt. Joy Station,2.5
0.0,GT07Cn,Mt. Joy Station,10,EV,Stouffville Station,8.0
30.0,GT07Cn,Union Station,0,MD,East Harbour Station,3.5
30.0,GT07Cn,East Harbour Station,1,MD,Danforth Station,3.75
30.0,GT07Cn,Danforth Station,2,MD,Kennedy Station,6.0
30.0,GT07Cn,Kennedy Station,3,MD,Agincourt Station,6.75
30.0,GT07Cn,Agincourt Station,4,MD,Finch East Station,2.25
30.0,GT07Cn,Finch East Station,5,MD,Milliken Station,2.5
40.0,GT07Cn,Milliken Station,6,MD,Unionville Station,3.25
30.0,GT07Cn,Unionville Station,7,MD,Centennial Station,3.5
30.0,GT07Cn,Centennial Station,8,MD,Markham Station,3.0
30.0,GT07Cn,Markham Station,9,MD,Mt. Joy Station,2.5
0.0,GT07Cn,Mt. Joy Station,10,MD,Stouffville Station,8.0
30.0,GT07Cn,Union Station,0,PM,East Harbour Station,3.5
30.0,GT07Cn,East Harbour Station,1,PM,Danforth Station,3.75
30.0,GT07Cn,Danforth Station,2,PM,Kennedy Station,6.0
30.0,GT07Cn,Kennedy Station,3,PM,Agincourt Station,6.75
30.0,GT07Cn,Agincourt Station,4,PM,Finch East Station,2.25
30.0,GT07Cn,Finch East Station,5,PM,Milliken Station,2.5
40.0,GT07Cn,Milliken Station,6,PM,Unionville Station,3.25
30.0,GT07Cn,Unionville Station,7,PM,Centennial Station,3.5
30.0,GT07Cn,Centennial Station,8,PM,Markham Station,3.0
30.0,GT07Cn,Markham Station,9,PM,Mt. Joy Station,2.5
0.0,GT07Cn,Mt. Joy Station,10,PM,Stouffville Station,8.0
60.0,GT07Dn,Union Station,0,EV,East Harbour Station,3.5
60.0,GT07Dn,East Harbour Station,1,EV,Kennedy Station,8.75
60.0,GT07Dn,Kennedy Station,2,EV,Agincourt Station,7.5
60.0,GT07Dn,Agincourt Station,3,EV,Finch East Station,2.25
90.0,GT07Dn,Finch East Station,4,EV,Unionville Station,5.5
60.0,GT07Dn,Unionville Station,5,EV,Centennial Station,3.5
60.0,GT07Dn,Centennial Station,6,EV,Markham Station,3.25
90.0,GT07Dn,Markham Station,7,EV,Mt. Joy Station,2.5
60.0,GT07Dn,Mt. Joy Station,8,EV,Stouffville Station,8.0
0.0,GT07Dn,Stouffville Station,9,EV,Lincolnville Station,3.25
60.0,GT07Dn,Union Station,0,PM,East Harbour Station,3.5
60.0,GT07Dn,East Harbour Station,1,PM,Kennedy Station,8.75
60.0,GT07Dn,Kennedy Station,2,PM,Agincourt Station,7.5
60.0,GT07Dn,Agincourt Station,3,PM,Finch East Station,2.25
90.0,GT07Dn,Finch East Station,4,PM,Unionville Station,5.5
60.0,GT07Dn,Unionville Station,5,PM,Centennial Station,3.5
60.0,GT07Dn,Centennial Station,6,PM,Markham Station,3.25
90.0,GT07Dn,Markham Station,7,PM,Mt. Joy Station,2.5
60.0,GT07Dn,Mt. Joy Station,8,PM,Stouffville Station,8.0
0.0,GT07Dn,Stouffville Station,9,PM,Lincolnville Station,3.25
60.0,GT07En,Union Station,0,PM,East Harbour Station,3.5
60.0,GT07En,East Harbour Station,1,PM,Kennedy Station,9.25
60.0,GT07En,Kennedy Station,2,PM,Agincourt Station,7.0
60.0,GT07En,Agincourt Station,3,PM,Finch East Station,2.75
90.0,GT07En,Finch East Station,4,PM,Unionville Station,5.75
60.0,GT07En,Unionville Station,5,PM,Centennial Station,3.75
60.0,GT07En,Centennial Station,6,PM,Markham Station,3.25
90.0,GT07En,Markham Station,7,PM,Mt. Joy Station,3.0
60.0,GT07En,Mt. Joy Station,8,PM,Stouffville Station,8.0
0.0,GT07En,Stouffville Station,9,PM,Lincolnville Station,3.25
90.0,GT09Aw,Oshawa Station,0,EV,Whitby Station,3.75
90.0,GT09Aw,Whitby Station,1,EV,Ajax Station,5.25
90.0,GT09Aw,Ajax Station,2,EV,Pickering Station,3.25
60.0,GT09Aw,Pickering Station,3,EV,Rouge Hill Station,5.5
60.0,GT09Aw,Rouge Hill Station,4,EV,Guildwood Station,4.25
60.0,GT09Aw,Guildwood Station,5,EV,Eglinton Station,2.75
60.0,GT09Aw,Eglinton Station,6,EV,Scarborough Station,3.0
60.0,GT09Aw,Scarborough Station,7,EV,Danforth Station,3.75
60.0,GT09Aw,Danforth Station,8,EV,East Harbour Station,4.0
0.0,GT09Aw,East Harbour Station,9,EV,Union Station,6.5
90.0,GT09Aw,Oshawa Station,0,MD,Whitby Station,3.75
90.0,GT09Aw,Whitby Station,1,MD,Ajax Station,5.25
90.0,GT09Aw,Ajax Station,2,MD,Pickering Station,3.25
60.0,GT09Aw,Pickering Station,3,MD,Rouge Hill Station,5.5
60.0,GT09Aw,Rouge Hill Station,4,MD,Guildwood Station,4.25
60.0,GT09Aw,Guildwood Station,5,MD,Eglinton Station,2.75
60.0,GT09Aw,Eglinton Station,6,MD,Scarborough Station,3.0
60.0,GT09Aw,Scarborough Station,7,MD,Danforth Station,3.75
60.0,GT09Aw,Danforth Station,8,MD,East Harbour Station,4.0
0.0,GT09Aw,East Harbour Station,9,MD,Union Station,6.5
90.0,GT09Aw,Oshawa Station,0,PM,Whitby Station,3.75
90.0,GT09Aw,Whitby Station,1,PM,Ajax Station,5.25
90.0,GT09Aw,Ajax Station,2,PM,Pickering Station,3.25
60.0,GT09Aw,Pickering Station,3,PM,Rouge Hill Station,5.5
60.0,GT09Aw,Rouge Hill Station,4,PM,Guildwood Station,4.25
60.0,GT09Aw,Guildwood Station,5,PM,Eglinton Station,2.75
60.0,GT09Aw,Eglinton Station,6,PM,Scarborough Station,3.0
60.0,GT09Aw,Scarborough Station,7,PM,Danforth Station,3.75
60.0,GT09Aw,Danforth Station,8,PM,East Harbour Station,4.0
0.0,GT09Aw,East Harbour Station,9,PM,Union Station,6.5
90.0,GT09Bw,Oshawa Station,0,AM,Whitby Station,4.0
90.0,GT09Bw,Whitby Station,1,AM,Ajax Station,5.25
90.0,GT09Bw,Ajax Station,2,AM,Pickering Station,3.25
60.0,GT09Bw,Pickering Station,3,AM,Rouge Hill Station,5.5
60.0,GT09Bw,Rouge Hill Station,4,AM,Guildwood Station,4.25
60.0,GT09Bw,Guildwood Station,5,AM,Eglinton Station,2.75
60.0,GT09Bw,Eglinton Station,6,AM,Scarborough Station,3.0
60.0,GT09Bw,Scarborough Station,7,AM,Danforth Station,3.75
60.0,GT09Bw,Danforth Station,8,AM,East Harbour Station,4.0
0.0,GT09Bw,East Harbour Station,9,AM,Union Station,5.5
90.0,GT09Bw,Oshawa Station,0,PM,Whitby Station,4.0
90.0,GT09Bw,Whitby Station,1,PM,Ajax Station,5.25
90.0,GT09Bw,Ajax Station,2,PM,Pickering Station,3.25
60.0,GT09Bw,Pickering Station,3,PM,Rouge Hill Station,5.5
60.0,GT09Bw,Rouge Hill Station,4,PM,Guildwood Station,4.25
60.0,GT09Bw,Guildwood Station,5,PM,Eglinton Station,2.75
60.0,GT09Bw,Eglinton Station,6,PM,Scarborough Station,3.0
60.0,GT09Bw,Scarborough Station,7,PM,Danforth Station,3.75
60.0,GT09Bw,Danforth Station,8,PM,East Harbour Station,4.0
0.0,GT09Bw,East Harbour Station,9,PM,Union Station,6.5
60.0,GT09Cw,Bowmanville Station,0,AM,Courtice Station,5.5
60.0,GT09Cw,Courtice Station,1,AM,Ritson Station,5.75
60.0,GT09Cw,Ritson Station,2,AM,Thornton's Corners,4.75
60.0,GT09Cw,Thornton's Corners,3,AM,Oshawa Station,4.0
90.0,GT09Cw,Oshawa Station,4,AM,Whitby Station,4.25
90.0,GT09Cw,Whitby Station,5,AM,Ajax Station,6.25
90.0,GT09Cw,Ajax Station,6,AM,Pickering Station,3.75
60.0,GT09Cw,Pickering Station,7,AM,East Harbour Station,20.75
0.0,GT09Cw,East Harbour Station,8,AM,Union Station,5.0
60.0,GT09Cw,Bowmanville Station,0,EV,Courtice Station,5.5
60.0,GT09Cw,Courtice Station,1,EV,Ritson Station,5.75
60.0,GT09Cw,Ritson Station,2,EV,Thornton's Corners,4.75
60.0,GT09Cw,Thornton's Corners,3,EV,Oshawa Station,4.0
90.0,GT09Cw,Oshawa Station,4,EV,Whitby Station,4.25
90.0,GT09Cw,Whitby Station,5,EV,Ajax Station,6.25
90.0,GT09Cw,Ajax Station,6,EV,Pickering Station,3.75
60.0,GT09Cw,Pickering Station,7,EV,East Harbour Station,20.75
0.0,GT09Cw,East Harbour Station,8,EV,Union Station,5.0
60.0,GT09Cw,Bowmanville Station,0,MD,Courtice Station,5.5
60.0,GT09Cw,Courtice Station,1,MD,Ritson Station,5.75
60.0,GT09Cw,Ritson Station,2,MD,Thornton's Corners,4.75
60.0,GT09Cw,Thornton's Corners,3,MD,Oshawa Station,4.0
90.0,GT09Cw,Oshawa Station,4,MD,Whitby Station,4.25
90.0,GT09Cw,Whitby Station,5,MD,Ajax Station,6.25
90.0,GT09Cw,Ajax Station,6,MD,Pickering Station,3.75
60.0,GT09Cw,Pickering Station,7,MD,East Harbour Station,20.75
0.0,GT09Cw,East Harbour Station,8,MD,Union Station,5.0
60.0,GT09Cw,Bowmanville Station,0,PM,Courtice Station,5.5
60.0,GT09Cw,Courtice Station,1,PM,Ritson Station,5.75
60.0,GT09Cw,Ritson Station,2,PM,Thornton's Corners,4.75
60.0,GT09Cw,Thornton's Corners,3,PM,Oshawa Station,4.0
90.0,GT09Cw,Oshawa Station,4,PM,Whitby Station,4.25
90.0,GT09Cw,Whitby Station,5,PM,Ajax Station,6.25
90.0,GT09Cw,Ajax Station,6,PM,Pickering Station,3.75
60.0,GT09Cw,Pickering Station,7,PM,East Harbour Station,20.75
0.0,GT09Cw,East Harbour Station,8,PM,Union Station,5.0
60.0,GT09Dw,Bowmanville Station,0,AM,Courtice Station,5.75
60.0,GT09Dw,Courtice Station,1,AM,Ritson Station,5.5
60.0,GT09Dw,Ritson Station,2,AM,Thornton's Corners,4.75
60.0,GT09Dw,Thornton's Corners,3,AM,Oshawa Station,4.0
90.0,GT09Dw,Oshawa Station,4,AM,Whitby Station,4.25
90.0,GT09Dw,Whitby Station,5,AM,Ajax Station,6.25
90.0,GT09Dw,Ajax Station,6,AM,Pickering Station,3.75
60.0,GT09Dw,Pickering Station,7,AM,East Harbour Station,20.75
0.0,GT09Dw,East Harbour Station,8,AM,Union Station,5.0
60.0,GT09Dw,Bowmanville Station,0,PM,Courtice Station,5.75
60.0,GT09Dw,Courtice Station,1,PM,Ritson Station,5.5
60.0,GT09Dw,Ritson Station,2,PM,Thornton's Corners,4.75
60.0,GT09Dw,Thornton's Corners,3,PM,Oshawa Station,4.0
90.0,GT09Dw,Oshawa Station,4,PM,Whitby Station,4.25
90.0,GT09Dw,Whitby Station,5,PM,Ajax Station,6.25
90.0,GT09Dw,Ajax Station,6,PM,Pickering Station,3.75
60.0,GT09Dw,Pickering Station,7,PM,East Harbour Station,20.75
0.0,GT09Dw,East Harbour Station,8,PM,Union Station,5.0
60.0,GT09Ae,Union Station,0,EV,East Harbour Station,3.5
60.0,GT09Ae,East Harbour Station,1,EV,Danforth Station,4.0
60.0,GT09Ae,Danforth Station,2,EV,Scarborough Station,4.5
60.0,GT09Ae,Scarborough Station,3,EV,Eglinton Station,2.75
60.0,GT09Ae,Eglinton Station,4,EV,Guildwood Station,3.0
60.0,GT09Ae,Guildwood Station,5,EV,Rouge Hill Station,4.25
90.0,GT09Ae,Rouge Hill Station,6,EV,Pickering Station,5.4875
90.0,GT09Ae,Pickering Station,7,EV,Ajax Station,3.0
90.0,GT09Ae,Ajax Station,8,EV,Whitby Station,5.25
0.0,GT09Ae,Whitby Station,9,EV,Oshawa Station,4.25
60.0,GT09Ae,Union Station,0,MD,East Harbour Station,3.5
60.0,GT09Ae,East Harbour Station,1,MD,Danforth Station,4.0
60.0,GT09Ae,Danforth Station,2,MD,Scarborough Station,4.5
60.0,GT09Ae,Scarborough Station,3,MD,Eglinton Station,2.75
60.0,GT09Ae,Eglinton Station,4,MD,Guildwood Station,3.0
60.0,GT09Ae,Guildwood Station,5,MD,Rouge Hill Station,4.25
90.0,GT09Ae,Rouge Hill Station,6,MD,Pickering Station,5.5
90.0,GT09Ae,Pickering Station,7,MD,Ajax Station,3.0
90.0,GT09Ae,Ajax Station,8,MD,Whitby Station,5.25
0.0,GT09Ae,Whitby Station,9,MD,Oshawa Station,4.25
60.0,GT09Ae,Union Station,0,PM,East Harbour Station,3.5
60.0,GT09Ae,East Harbour Station,1,PM,Danforth Station,4.0
60.0,GT09Ae,Danforth Station,2,PM,Scarborough Station,4.75
60.0,GT09Ae,Scarborough Station,3,PM,Eglinton Station,2.75
60.0,GT09Ae,Eglinton Station,4,PM,Guildwood Station,3.0
60.0,GT09Ae,Guildwood Station,5,PM,Rouge Hill Station,4.25
90.0,GT09Ae,Rouge Hill Station,6,PM,Pickering Station,5.5
90.0,GT09Ae,Pickering Station,7,PM,Ajax Station,3.0
90.0,GT09Ae,Ajax Station,8,PM,Whitby Station,5.25
0.0,GT09Ae,Whitby Station,9,PM,Oshawa Station,4.25
60.0,GT09Be,Union Station,0,AM,East Harbour Station,3.75
60.0,GT09Be,East Harbour Station,1,AM,Danforth Station,4.0
60.0,GT09Be,Danforth Station,2,AM,Scarborough Station,4.5
60.0,GT09Be,Scarborough Station,3,AM,Eglinton Station,2.75
60.0,GT09Be,Eglinton Station,4,AM,Guildwood Station,3.0
60.0,GT09Be,Guildwood Station,5,AM,Rouge Hill Station,4.25
90.0,GT09Be,Rouge Hill Station,6,AM,Pickering Station,5.5
90.0,GT09Be,Pickering Station,7,AM,Ajax Station,3.0
90.0,GT09Be,Ajax Station,8,AM,Whitby Station,5.25
0.0,GT09Be,Whitby Station,9,AM,Oshawa Station,4.0
60.0,GT09Be,Union Station,0,MD,East Harbour Station,3.75
60.0,GT09Be,East Harbour Station,1,MD,Danforth Station,4.0
60.0,GT09Be,Danforth Station,2,MD,Scarborough Station,4.5
60.0,GT09Be,Scarborough Station,3,MD,Eglinton Station,2.75
60.0,GT09Be,Eglinton Station,4,MD,Guildwood Station,3.0
60.0,GT09Be,Guildwood Station,5,MD,Rouge Hill Station,4.25
90.0,GT09Be,Rouge Hill Station,6,MD,Pickering Station,5.5
90.0,GT09Be,Pickering Station,7,MD,Ajax Station,3.0
90.0,GT09Be,Ajax Station,8,MD,Whitby Station,5.25
0.0,GT09Be,Whitby Station,9,MD,Oshawa Station,4.0
60.0,GT09Be,Union Station,0,PM,East Harbour Station,3.75
60.0,GT09Be,East Harbour Station,1,PM,Danforth Station,4.0
60.0,GT09Be,Danforth Station,2,PM,Scarborough Station,4.75
60.0,GT09Be,Scarborough Station,3,PM,Eglinton Station,2.75
60.0,GT09Be,Eglinton Station,4,PM,Guildwood Station,3.0
60.0,GT09Be,Guildwood Station,5,PM,Rouge Hill Station,4.25
90.0,GT09Be,Rouge Hill Station,6,PM,Pickering Station,5.5
90.0,GT09Be,Pickering Station,7,PM,Ajax Station,3.0
90.0,GT09Be,Ajax Station,8,PM,Whitby Station,5.25
0.0,GT09Be,Whitby Station,9,PM,Oshawa Station,4.0
60.0,GT09Ce,Union Station,0,AM,East Harbour Station,3.5
90.0,GT09Ce,East Harbour Station,1,AM,Pickering Station,24.0
90.0,GT09Ce,Pickering Station,2,AM,Ajax Station,3.75
90.0,GT09Ce,Ajax Station,3,AM,Whitby Station,6.0
60.0,GT09Ce,Whitby Station,4,AM,Oshawa Station,4.5
60.0,GT09Ce,Oshawa Station,5,AM,Thornton's Corners,4.0
60.0,GT09Ce,Thornton's Corners,6,AM,Ritson Station,4.5
60.0,GT09Ce,Ritson Station,7,AM,Courtice Station,5.75
0.0,GT09Ce,Courtice Station,8,AM,Bowmanville Station,6.25
60.0,GT09Ce,Union Station,0,EV,East Harbour Station,3.5
90.0,GT09Ce,East Harbour Station,1,EV,Pickering Station,24.0
90.0,GT09Ce,Pickering Station,2,EV,Ajax Station,3.75
90.0,GT09Ce,Ajax Station,3,EV,Whitby Station,6.0
60.0,GT09Ce,Whitby Station,4,EV,Oshawa Station,4.5
60.0,GT09Ce,Oshawa Station,5,EV,Thornton's Corners,4.0
60.0,GT09Ce,Thornton's Corners,6,EV,Ritson Station,4.5
60.0,GT09Ce,Ritson Station,7,EV,Courtice Station,5.75
0.0,GT09Ce,Courtice Station,8,EV,Bowmanville Station,6.5
60.0,GT09Ce,Union Station,0,MD,East Harbour Station,3.5
90.0,GT09Ce,East Harbour Station,1,MD,Pickering Station,24.0
90.0,GT09Ce,Pickering Station,2,MD,Ajax Station,3.75
90.0,GT09Ce,Ajax Station,3,MD,Whitby Station,6.0
60.0,GT09Ce,Whitby Station,4,MD,Oshawa Station,4.5
60.0,GT09Ce,Oshawa Station,5,MD,Thornton's Corners,4.0
60.0,GT09Ce,Thornton's Corners,6,MD,Ritson Station,4.5
60.0,GT09Ce,Ritson Station,7,MD,Courtice Station,5.75
0.0,GT09Ce,Courtice Station,8,MD,Bowmanville Station,6.25
60.0,GT09Ce,Union Station,0,PM,East Harbour Station,3.5
90.0,GT09Ce,East Harbour Station,1,PM,Pickering Station,24.0
90.0,GT09Ce,Pickering Station,2,PM,Ajax Station,3.75
90.0,GT09Ce,Ajax Station,3,PM,Whitby Station,6.0
60.0,GT09Ce,Whitby Station,4,PM,Oshawa Station,4.5
60.0,GT09Ce,Oshawa Station,5,PM,Thornton's Corners,4.0
60.0,GT09Ce,Thornton's Corners,6,PM,Ritson Station,4.5
60.0,GT09Ce,Ritson Station,7,PM,Courtice Station,5.75
0.0,GT09Ce,Courtice Station,8,PM,Bowmanville Station,6.375
60.0,GT09De,Union Station,0,AM,East Harbour Station,3.5
90.0,GT09De,East Harbour Station,1,AM,Pickering Station,24.25
90.0,GT09De,Pickering Station,2,AM,Ajax Station,3.75
90.0,GT09De,Ajax Station,3,AM,Whitby Station,6.0
60.0,GT09De,Whitby Station,4,AM,Oshawa Station,4.5
60.0,GT09De,Oshawa Station,5,AM,Thornton's Corners,4.0
60.0,GT09De,Thornton's Corners,6,AM,Ritson Station,4.75
60.0,GT09De,Ritson Station,7,AM,Courtice Station,5.5
0.0,GT09De,Courtice Station,8,AM,Bowmanville Station,6.25
60.0,GT09De,Union Station,0,PM,East Harbour Station,3.5
90.0,GT09De,East Harbour Station,1,PM,Pickering Station,24.25
90.0,GT09De,Pickering Station,2,PM,Ajax Station,3.75
90.0,GT09De,Ajax Station,3,PM,Whitby Station,6.0
60.0,GT09De,Whitby Station,4,PM,Oshawa Station,4.5
60.0,GT09De,Oshawa Station,5,PM,Thornton's Corners,4.0
60.0,GT09De,Thornton's Corners,6,PM,Ritson Station,4.75
60.0,GT09De,Ritson Station,7,PM,Courtice Station,5.5
0.0,GT09De,Courtice Station,8,PM,Bowmanville Station,6.25
